ordernumber,sales_channel,warehousecode,procureddate,orderdate,shipdate,deliverydate,currencycode,salesteamid,customerid,storeid,productid,order_quantity,discount_applied,unit_price,unit_cost,order_total,order_discount,grand_total
SO - 000101,In-Store,WARE-UHY1004,2017-12-31,2018-05-31,2018-06-14,2018-06-19,USD,6,15,259,12,5,0.075,1963.1,1001.181,9815.5,736.1625,9079.3375
SO - 000102,Online,WARE-NMK1003,2017-12-31,2018-05-31,2018-06-22,2018-07-02,USD,14,20,196,27,3,0.075,3939.6,3348.66,11818.8,886.41,10932.39
SO - 000103,Distributor,WARE-UHY1004,2017-12-31,2018-05-31,2018-06-21,2018-07-01,USD,21,16,213,16,1,0.05,1775.5,781.22,1775.5,88.775,1686.725
SO - 000104,Wholesale,WARE-NMK1003,2017-12-31,2018-05-31,2018-06-02,2018-06-07,USD,28,48,107,23,8,0.075,2324.9,1464.687,18599.2,1394.94,17204.260000000002
SO - 000105,Distributor,WARE-NMK1003,2018-04-10,2018-05-31,2018-06-16,2018-06-26,USD,22,49,111,26,8,0.1,1822.4,1476.1440000000002,14579.2,1457.92,13121.28
SO - 000106,Online,WARE-PUJ1005,2017-12-31,2018-05-31,2018-06-08,2018-06-13,USD,12,21,285,1,5,0.05,1038.5,446.555,5192.5,259.625,4932.875
SO - 000107,In-Store,WARE-XYS1001,2017-12-31,2018-05-31,2018-06-08,2018-06-14,USD,10,14,6,5,4,0.15,1192.6,536.6700000000001,4770.4,715.56,4054.8399999999997
SO - 000108,In-Store,WARE-PUJ1005,2018-04-10,2018-05-31,2018-06-26,2018-07-01,USD,6,9,280,46,5,0.05,1815.7,1525.188,9078.5,453.925,8624.575
SO - 000109,In-Store,WARE-PUJ1005,2017-12-31,2018-06-01,2018-06-16,2018-06-21,USD,4,9,299,47,4,0.3,3879.3,2211.201,15517.2,4655.16,10862.04
SO - 000110,In-Store,WARE-UHY1004,2017-12-31,2018-06-01,2018-06-29,2018-07-01,USD,10,33,261,13,8,0.05,1956.4,1212.968,15651.2,782.5600000000001,14868.640000000001
SO - 000111,Distributor,WARE-XYS1001,2017-12-31,2018-06-01,2018-06-15,2018-06-20,USD,23,21,17,38,6,0.1,201.0,124.62,1206.0,120.60000000000001,1085.4
SO - 000112,In-Store,WARE-NMK1003,2018-04-10,2018-06-01,2018-06-07,2018-06-17,USD,10,21,152,40,5,0.15,6277.900000000001,2762.2760000000003,31389.500000000004,4708.425,26681.075000000004
SO - 000113,In-Store,WARE-PUJ1005,2018-04-10,2018-06-01,2018-06-22,2018-07-02,USD,4,36,317,39,5,0.05,1051.9,641.659,5259.5,262.975,4996.525
SO - 000114,In-Store,WARE-PUJ1005,2018-04-10,2018-06-01,2018-06-07,2018-06-15,USD,8,17,291,32,6,0.15,254.6,216.41,1527.6,229.14,1298.46
SO - 000115,In-Store,WARE-NMK1003,2017-12-31,2018-06-01,2018-06-15,2018-06-20,USD,9,32,138,6,6,0.15,3932.9,3146.32,23597.4,3539.61,20057.79
SO - 000116,In-Store,WARE-MKL1006,2017-12-31,2018-06-01,2018-06-24,2018-07-02,USD,5,11,354,25,3,0.05,1112.2,700.686,3336.6000000000004,166.83000000000004,3169.7700000000004
SO - 000117,In-Store,WARE-PUJ1005,2018-04-10,2018-06-01,2018-06-19,2018-06-27,USD,9,10,320,6,3,0.075,1239.5,904.835,3718.5,278.8875,3439.6125
SO - 000118,In-Store,WARE-XYS1001,2018-04-10,2018-06-01,2018-06-06,2018-06-14,USD,8,30,21,3,4,0.1,984.9,393.96,3939.6,393.96000000000004,3545.64
SO - 000119,In-Store,WARE-MKL1006,2018-04-10,2018-06-01,2018-06-07,2018-06-15,USD,5,5,349,20,4,0.1,5581.1,4130.014,22324.4,2232.44,20091.960000000003
SO - 000120,Online,WARE-NMK1003,2017-12-31,2018-06-01,2018-06-11,2018-06-17,USD,14,23,134,24,4,0.05,3095.4,1795.332,12381.6,619.08,11762.52
SO - 000121,Wholesale,WARE-NMK1003,2018-04-10,2018-06-01,2018-06-18,2018-06-20,USD,25,46,193,33,4,0.4,2278.0,1754.06,9112.0,3644.8,5467.2
SO - 000122,In-Store,WARE-PUJ1005,2018-04-10,2018-06-02,2018-06-10,2018-06-16,USD,2,14,282,1,7,0.075,991.6,654.456,6941.2,520.5899999999999,6420.61
SO - 000123,In-Store,WARE-XYS1001,2018-04-10,2018-06-02,2018-06-26,2018-06-28,USD,7,40,20,35,2,0.2,3979.8,3064.4460000000004,7959.6,1591.92,6367.68
SO - 000124,Distributor,WARE-UHY1004,2017-12-31,2018-06-02,2018-06-22,2018-07-02,USD,24,19,218,15,3,0.4,1969.8,866.712,5909.4,2363.7599999999998,3545.64
